,"(2, 2, 2)","(2, 2, 2) pruning","(3, 3, 3)","(3, 3, 3) pruning","(4, 4, 4)","(4, 4, 4) pruning"
0,0.00012798309326171874,7.343292236328125e-05,0.05762333869934082,0.028331685066223144,264.44014711380004,5.279028797149659
1,3.006458282470703e-05,2.799034118652344e-05,0.0171907901763916,0.006502485275268555,80.38395018577576,1.6757107973098755
2,9.489059448242187e-06,1.0514259338378907e-05,0.005543851852416992,0.0016168117523193359,25.249946880340577,0.8655946969985961
3,0.00021424293518066407,0.00015995502471923828,0.001301884651184082,0.0005780458450317383,7.575256133079529,0.313287615776062
4,,,0.0005208730697631836,0.00032782554626464844,2.0508591175079345,0.23572819232940673
5,,,0.00015659332275390624,0.00011363029479980469,0.6243406295776367,0.13134007453918456
6,,,6.203651428222656e-05,4.9495697021484374e-05,0.21270785331726075,0.021729516983032226
7,,,2.033710479736328e-05,2.0599365234375e-05,0.06399104595184327,0.014745116233825684
8,,,7.62939453125e-06,7.510185241699219e-06,0.017442965507507326,0.011223936080932617
9,,,0.08330142498016357,0.03818624019622803,0.0047120809555053714,0.002226448059082031
10,,,,,0.0017027854919433594,0.0009032726287841797
11,,,,,0.0004994630813598633,0.00029234886169433595
12,,,,,0.0001928567886352539,0.0001364469528198242
13,,,,,5.4836273193359375e-05,6.287097930908203e-05
14,,,,,2.0575523376464843e-05,2.231597900390625e-05
15,,,,,7.963180541992187e-06,9.489059448242187e-06
16,,,,,383.4058185577393,8.69184868335724
